Fitter tree
expected,actual
-0.92750025,-1.3499999
-1.3475003,-1.5500002
-2.1599998,-2.8000002
-2.25,-2.5000002
-2.0899997,-2.9000003
-0.29000008,-1.0999999
-2.0900002,-2.1000001
-1.9999998,-3.0000002
-2.0475001,-2.0500002
-2.2275,-2.65
-1.1475003,-1.4500003
-2.24,-2.6000001
-2.16,-2.2
-0.14750004,-1.0500002
-1.4400003,-1.6000004
-1.5275003,-1.6500001
-0.8100002,-1.3000002
-2.0000002,-2.0000002
-2.1875,-2.2500002
-1.0400002,-1.4000001
-2.1274998,-2.8500004
-2.21,-2.7000003
-1.6875002,-1.75
-1.2500002,-1.5
0.0,-1.0
-2.1875,-2.7500002
-2.21,-2.3000002
-2.2475,-2.4500003
-1.9475002,-1.9500003
-1.7600002,-1.8000002
-2.0474997,-2.9500003
-2.2475,-2.5500002
-2.2275,-2.3500001
-2.1275,-2.15
-1.8275002,-1.8500004
-0.5600002,-1.1999998
-0.4275,-1.1500001
-1.8900002,-1.9000001
-1.6100003,-1.7000003
-2.24,-2.4
-0.6875001,-1.25
Fitter tree
expected,actual
-0.92750025,-1.1214287
-1.3475003,-1.3214288
-2.1599998,-2.5714288
-2.25,-2.2714288
-2.0899997,-2.671429
-0.29000008,-0.8714286
-2.0900002,-1.8714287
-1.9999998,-2.7714288
-2.0475001,-1.8214288
-2.2275,-2.4214287
-1.1475003,-1.2214286
-2.24,-2.3714287
-2.16,-1.9714286
-0.14750004,-0.82142854
-1.4400003,-1.3714287
-1.5275003,-1.4214287
-0.8100002,-1.0714287
-2.0000002,-1.7714288
-2.1875,-2.0214288
-1.0400002,-1.1714287
-2.1274998,-2.621429
-2.21,-2.4714289
-1.6875002,-1.5214287
-1.2500002,-1.2714287
0.0,-0.7714286
-2.1875,-2.5214288
-2.21,-2.0714288
-2.2475,-2.2214289
-1.9475002,-1.7214288
-1.7600002,-1.5714288
-2.0474997,-2.7214289
-2.2475,-2.3214288
-2.2275,-2.1214287
-2.1275,-1.9214287
-1.8275002,-1.6214287
-0.5600002,-0.97142863
-0.4275,-0.9214287
-1.8900002,-1.6714287
-1.6100003,-1.4714288
-2.24,-2.1714287
-0.6875001,-1.0214286
Fitter tree
expected,actual
-0.92750025,-1.1093986
-1.3475003,-1.3019382
-2.1599998,-2.492308
-2.25,-2.2090912
-2.0899997,-2.5862749
-0.29000008,-0.86811596
-2.0900002,-1.8288137
-1.9999998,-2.6800003
-2.0475001,-1.7810926
-2.2275,-2.3509347
-1.1475003,-1.2057252
-2.24,-2.3037038
-2.16,-1.924138
-0.14750004,-0.8197841
-1.4400003,-1.3500001
-1.5275003,-1.3980316
-0.8100002,-1.0611941
-2.0000002,-1.7333336
-2.1875,-1.9717393
-1.0400002,-1.1575758
-2.1274998,-2.5393207
-2.21,-2.3981135
-1.6875002,-1.4940001
-1.2500002,-1.2538463
0.0,-0.7714286
-2.1875,-2.4452384
-2.21,-2.0192986
-2.2475,-2.161712
-1.9475002,-1.6855373
-1.7600002,-1.5419357
-2.0474997,-2.6331687
-2.2475,-2.2564223
-2.2275,-2.0668142
-2.1275,-1.8764958
-1.8275002,-1.5898376
-0.5600002,-0.96470594
-0.4275,-0.91642344
-1.8900002,-1.637705
-1.6100003,-1.4460319
-2.24,-2.1142857
-0.6875001,-1.0129629
Fitter tree
expected,actual
-0.92750025,-0.922814
-1.3475003,-1.1618165
-2.1599998,-2.505328
-2.25,-2.19697
-2.0899997,-2.6067796
-0.29000008,-0.6015949
-2.0900002,-1.7747334
-1.9999998,-2.7076025
-2.0475001,-1.7208471
-2.2275,-2.3519287
-1.1475003,-1.0438427
-2.24,-2.3004553
-2.16,-1.8816909
-0.14750004,-0.5329635
-1.4400003,-1.2198298
-1.5275003,-1.2772691
-0.8100002,-0.8609414
-2.0000002,-1.6666669
-2.1875,-1.9347914
-1.0400002,-0.9837496
-2.1274998,-2.5561333
-2.21,-2.4032292
-1.6875002,-1.390611
-1.2500002,-1.1031748
0.0,-0.46236557
-2.1875,-2.454361
-2.21,-1.9876564
-2.2475,-2.1449456
-1.9475002,-1.6121738
-1.7600002,-1.4465934
-2.0474997,-2.6572688
-2.2475,-2.2488043
-2.2275,-2.040297
-2.1275,-1.8283429
-1.8275002,-1.502162
-0.5600002,-0.73393
-0.4275,-0.6685133
-1.8900002,-1.5573466
-1.6100003,-1.3341821
-2.24,-2.0927238
-0.6875001,-0.7980226
Fitter tree
expected,actual
-0.92750025,-1.1810002
-1.3475003,-1.4690002
-2.1599998,-2.5440001
-2.25,-2.4
-2.0899997,-2.5760002
-0.29000008,-0.776
-2.0900002,-2.0960002
-1.9999998,-2.6000001
-2.0475001,-2.0490003
-2.2275,-2.481
-1.1475003,-1.3290001
-2.24,-2.456
-2.16,-2.184
-0.14750004,-0.68899995
-1.4400003,-1.5360001
-1.5275003,-1.6010002
-0.8100002,-1.1040001
-2.0000002,-2.0000002
-2.1875,-2.2250001
-1.0400002,-1.2560002
-2.1274998,-2.561
-2.21,-2.5040002
-1.6875002,-1.7250001
-1.2500002,-1.4000002
0.0,-0.6
-2.1875,-2.525
-2.21,-2.2640002
-2.2475,-2.3690002
-1.9475002,-1.9490001
-1.7600002,-1.7840002
-2.0474997,-2.589
-2.2475,-2.4290001
-2.2275,-2.301
-2.1275,-2.141
-1.8275002,-1.8410002
-0.5600002,-0.94400007
-0.4275,-0.8610001
-1.8900002,-1.8960001
-1.6100003,-1.6640002
-2.24,-2.336
-0.6875001,-1.025
Fitter tree
expected,actual
-0.92750025,-0.92750025
-1.3475003,-1.3475003
-2.1599998,-2.1599998
-2.25,-2.25
-2.0899997,-2.09
-0.29000008,-0.29000008
-2.0900002,-2.0900002
-1.9999998,-1.9999998
-2.0475001,-2.0475001
-2.2275,-2.2274997
-1.1475003,-1.1475002
-2.24,-2.2399998
-2.16,-2.16
-0.14750004,-0.14749998
-1.4400003,-1.4400003
-1.5275003,-1.5275002
-0.8100002,-0.8100002
-2.0000002,-2.0000002
-2.1875,-2.1875002
-1.0400002,-1.0400002
-2.1274998,-2.1275
-2.21,-2.21
-1.6875002,-1.6875002
-1.2500002,-1.2500002
0.0,0.0
-2.1875,-2.1875
-2.21,-2.21
-2.2475,-2.2475002
-1.9475002,-1.9475002
-1.7600002,-1.7600002
-2.0474997,-2.0474997
-2.2475,-2.2475
-2.2275,-2.2275
-2.1275,-2.1275
-1.8275002,-1.8275002
-0.5600002,-0.5600001
-0.4275,-0.42750013
-1.8900002,-1.8900001
-1.6100003,-1.6100003
-2.24,-2.24
-0.6875001,-0.68750006
